text,label,disaster_type,region,source
A Flood Statement has been issued for portions of the WATE 6 area. Details: http://t.co/M9husNfeZq,other_useful_information,flood,India,twitter
#Akansha_Gautam #India #Indian VIDEO: Woman survives flash flood but reports surface... http://t.co/g370WQJGIJ #SuryaRay  #SharmaSudhansu,other_useful_information,flood,India,twitter
"Google engineer dies in Everest avalanche after Nepal quake: Dan Fredinburg, an engineer in Google's Project X... http://t.co/PlW69GjDzA",injured_or_dead_people,earthquake,Nepal,twitter
"RT @danepatel: Kudos indianarmy, rss, swamiramdev nd #MEAatWork all of prove #IndiaWithNepal http://t.co/nK2cHZt7sH",other_useful_information,earthquake,Nepal,twitter
"#Te_Amo_Rainel Landslides, Flooding Kill 109 In Nepal, Northern India: The death toll from land... http://t.co/pDDoJS97kx @Diime_Raiinel",injured_or_dead_people,flood,India,twitter
Many dead in Nepal and India floods http://t.co/gxZioD2uhB Via (Harradox),injured_or_dead_people,flood,India,twitter
RT @TimesNow: Large number of Indians and locals rescued after #NepalEarthquake. Operation Maitri stepped up. #IndiaWithNepal https://t.co/…,missing_trapped_or_found_people,earthquake,Nepal,twitter
"RT @WNEW: Death toll in #NepalEarthquake passes 5,000 as first aid shipments reach area near epicenter. (via @AP)",injured_or_dead_people,earthquake,Nepal,twitter
#Nepal #Selfie – Modern Tragedy: Quake-Ravaged Nepal Tower a Site for Selfies – Social media is a… http://t.co/34D1EgeAn7 #News #account,other_useful_information,earthquake,Nepal,twitter
RT @SpokespersonMoD: #NepalEarthquake Arrival of stranded Indians from Kathmandu at Palam by C-17 of IAF in the wee hours-2 http://t.co/Mlj…,displaced_people_and_evacuations,earthquake,Nepal,twitter
"CM Naveen Patnaik reviews flood situation, directs officials to immediately repair breaches on embankments @Odisha @NewIndianXpress",infrastructure_and_utilities_damage,flood,India,twitter
@PMOIndia sir i wanted to draw your attention to the problem of floods in north states due to the water released by nepal,other_useful_information,flood,India,twitter
After Flood Relief Camp at Atthagarh with GREEN Thinkers India team.. It's an awesome feeling — feeling relaxed,other_useful_information,flood,India,twitter
"RT @MSGTheFilm: The news  about Earthquake in Nepal and parts of India, is really shocking #MSGHelpEarthquakeVictims &amp; wid the victims in t…",other_useful_information,earthquake,Nepal,twitter
OMG !!  VIDEO: 4-month-old baby rescued alive from debris in Nepal  CLICK here --&gt;&gt; http://t.co/T82TM2uBFp http://t.co/rTlMO6GogS ...#64,missing_trapped_or_found_people,earthquake,Nepal,twitter
RT @BJPsudhanRSS: Everyone there was appreciating the Indian Government: MJ Akbar on being rescued from Nepal #earthquake http://t.co/Tss62…,missing_trapped_or_found_people,earthquake,Nepal,twitter
"New post: ""Hundreds dead as monsoon hits India, Nepal"" http://t.co/nqw2Zl8pck",injured_or_dead_people,flood,India,twitter
Flood fury in North India:,other_useful_information,flood,India,twitter
"@infonaija 24 Killed, Including 7 In Their Sleep As Landslide Hit India http://t.co/MSuMxq8WsQ Pls Click...",injured_or_dead_people,flood,India,twitter
Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/BfvxCivCP4 #theguardian,injured_or_dead_people,flood,India,twitter
RT @GivMeSome_Mo: Death count is above 4600 in Nepal! That's insane!!! #PrayersUp,injured_or_dead_people,earthquake,Nepal,twitter
One man swung into action mere minutes after the news of #NepalEarthquake and spearheaded an impressive rescue... http://t.co/PbGTGDs3i9,other_useful_information,earthquake,Nepal,twitter
"RT @TOIIndiaNews: Flood situation in Assam grim, toll rises to 3 http://t.co/M4bGx5Vy5m",other_useful_information,flood,India,twitter
"New post: ""Nepal and India begin relief efforts as monsoon floods claim at least 180 lives"" http://t.co/xaXFisXbLJ",injured_or_dead_people,flood,India,twitter
Monsoon rains cause extensive flooding and deaths in N India and Nepal. Risk of further landslides and rains to continue as monsoon goes N,injured_or_dead_people,flood,India,twitter
#NepalQuake At this stage Dirco says it has no confirmed reports - but is working round the clock to find any affected South Africans. EC,missing_trapped_or_found_people,earthquake,Nepal,twitter
12 helicopters - 6 from India- involved in  rescue across Nepal. 6 more helicopters expected from India.,other_useful_information,earthquake,Nepal,twitter
"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and rough... http://t.co/rHVNXzyXSU #NewYorkTimes",injured_or_dead_people,flood,India,twitter
RT @StoryPicker: This Is How Scary Nepal &amp; Parts Of India Look After Today Morning’s Earthquake http://t.co/xb5nfE7tF8 #earthquake http://t…,infrastructure_and_utilities_damage,earthquake,Nepal,twitter
@SushmaSwaraj @PMOIndia can you issue a list of people who have landed in India from Nepal,other_useful_information,earthquake,Nepal,twitter
RT @orbitlawpllc: TPS for #Nepal introduced in US Congress today...stay tuned for updates!,other_useful_information,earthquake,Nepal,twitter
RT @siobhanheanue: Kathmandu patan district. Old royal square devastated. http://t.co/Fq0CSRgeGM,infrastructure_and_utilities_damage,earthquake,Nepal,twitter
"India - Diarrhoea/Fever deaths reported from Chhattisgarh, Punjab, Telangana, Uttarakhand &amp; Uttar Pradesh http://t.co/hDUCa98QVR India Forum",injured_or_dead_people,flood,India,twitter
7.9 Earthquake  in India and Nepal http://t.co/Gyl1oLM6xP via @rashidfaridi,other_useful_information,earthquake,Nepal,twitter
RT @nytimes: Nepal's government is only gradually getting a grasp of destruction in the worst-hit villages http://t.co/DzHvwGV2uO,infrastructure_and_utilities_damage,earthquake,Nepal,twitter
"RT @MalteserInt: Ingo Radtke, Malteser International Secretary General on our first response to the devestating #NepalEarthquake https://t.…",other_useful_information,earthquake,Nepal,twitter
"Hundreds dead as monsoon brings chaos to northern India, Nepal via /r/worldnews http://t.co/PFiLI6DF83",injured_or_dead_people,flood,India,twitter
Scores Killed in Flooding in Nepal and India http://t.co/f8zz8xFLX5 #jobs #business #sales #economy #marketing #socialmedia #startup,injured_or_dead_people,flood,India,twitter
"RT @BBCBreaking: Nepal urgently appeals for body bags, tents &amp; water as death toll tops 2,300 http://t.co/FEg9JApDaf (via @BBCSanjoyM) http…",injured_or_dead_people,earthquake,Nepal,twitter
"C/O WORLD NEWS BLOG Nepal quake kills, traps climbers on Mount Everest http://t.co/A55suM9CAA",injured_or_dead_people,earthquake,Nepal,twitter
"24 Killed, Including 7 In Their Sleep As Landslide Hit India: Heavy downpours in India triggered ... http://t.co/yt8EvdiTLu via matt_ews",injured_or_dead_people,flood,India,twitter
RT @AmyFeldtmann: Police in Nepal reporting 449 have now died in the #NepalEarthquake v/@AJEnglish,injured_or_dead_people,earthquake,Nepal,twitter
"RT @OCHAAsiaPac: Some 70,000 houses estimated to be destroyed and 530,000 damaged during the #NepalQuake: http://t.co/1LK4f9JCva http://t.c…",infrastructure_and_utilities_damage,earthquake,Nepal,twitter
"#NepalFloods :More than 100 deaths, outbreak of #diseases feared - SaddaHaq https://t.co/Kf1AR8jAiK via @SaddaHaqMedia #floods #nepal #india",injured_or_dead_people,flood,India,twitter
RT @Lara_Miller: 130 KM from Kathmandu coming from #Pokhara. Road is 100% clear. Lots if devastation in villages tho. #NepalEarthquake,other_useful_information,earthquake,Nepal,twitter
160 Dead in Nepal and India Flooding #jobs #news #career #jobsila # http://t.co/XwnLR63WNI,injured_or_dead_people,flood,India,twitter
"""@cnnbrk: Dozens killed in flooding in northern and eastern India. http://t.co/n0aY0de3Ge"" UGH! This is where our priest has gone home to😢",injured_or_dead_people,flood,India,twitter
RT @NWSVegas: 3:03pm-Flash Flood Warning til 6pm for US95 from Indian Springs to Lee Canyon Rd. #vegasweather #nvwx http://t.co/NowPBel3RI,caution_and_advice,flood,India,twitter
"@taslimanasreen @PZIVY 2007: Nepal Airlines slaughters goats in front of a fBoeing 757, to fix technical fault. http://t.co/vG2FOcCIxi",other_useful_information,earthquake,Nepal,twitter
"“@wbaustin: Hundreds dead as monsoon hits India, Nepal http://t.co/482HQ0LgiB”",injured_or_dead_people,flood,India,twitter
